id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,desciription,imageDescription
208,kamikaze,Alcoholic,ordinary drink,cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg,"['vodka','triple sec','lime juice']","['1 oz','1 oz','1 oz']","The Kamikaze Cocktail is a sharp, citrusy drink from the sour cocktail family. Made with vodka, triple sec, and lime juice, it offers a balanced mix of sweet and tart flavors. Created in the post-World War II era, likely during the 1970s, the Kamikaze is known for its simplicity and is often enjoyed as a shot or a cocktail.","The cocktail features a pale yellow hue with a vibrant green lime garnish, showcasing its freshness. Served in a classic martini glass, the drink presents an elegant and inviting silhouette."
209,kir royale,Alcoholic,ordinary drink,champagne flute,"Pour Creme de cassis in glass, gently pour champagne on top",https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,"['creme de cassis','champagne']","['1 part','5 parts']","The Kir royal is a French cocktail, a variation on the Kir. It consists of cr_me de cassis topped with champagne, rather than the white wine used in traditional Kir. This ap_ritif is typically served in a flute glass.",The cocktail__为淡�__�_��__��_饰�_�__�__��
210,kiwi lemon,Alcoholic,ordinary drink,highball glass,Mix in highball glass. Stirr. Garnish with slice of kiwi.,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,"['kiwi liqueur','bitter lemon','ice']","['1 part','2 parts','cubes']","The Kiwi Lemon belongs to the?Highball?family, a simple yet refreshing mix of spirits and soda. Its origin likely draws inspiration from the classic Gin and Tonic, substituting the gin with Kiwi liqueur and the tonic with Bitter Lemon for a uniquely fruity and tangy twist.","The vibrant green cocktail, served in highball glasses with long black straws, offers a refreshing visual appeal, with each drink crowned by a cherry for a classic touch."
211,kurant tea,Alcoholic,coffee / tea,champagne flute,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",https://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,"['absolut kurant','tea','sugar']","['4 cl','turkish apple','(if needed)']","Kurant Tea belongs to the?Highball?family, a refreshing combination of spirits, mixers, and ice served tall in a highball glass. While its exact origin is unknown, it��s a modern twist on classic tea-based cocktails, likely inspired by the increasing popularity of flavored vodkas like Absolut Kurant.","The cocktail appears to be a refreshing yellow-toned drink, possibly an iced tea, served in a highball glass with ice and a lemon wedge garnish."
212,kioki coffee,Alcoholic,coffee / tea,coffee mug,Stir. Add whipped cream to the top.,https://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,"['kahlua','brandy','coffee']","['1 oz','1/2 oz', none]","The Kioki Coffee belongs to the Coffee Cocktail family, a group of drinks featuring coffee liqueur as a key ingredient. While its exact origin is unknown, it likely emerged in the early 20th century, a time when coffee liqueurs like Kahlua were gaining popularity.","The cocktail has a dark brown base with a creamy, light-colored foam topped with a sprinkle of cinnamon and what appears to be ice cubes, presented in a classic Irish coffee glass."
213,kiwi martini,Alcoholic,cocktail,cocktail glass,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.",https://www.thecocktaildb.com/images/media/drink/bmxmyq1630407098.jpg,"['kiwi','sugar syrup','vodka','kiwi']","['1/2','1 tsp','1 1/2 oz','garnish with']","The Kiwi Martini, a refreshing twist on the classic Martini, belongs to the?Fruit Martini?family. While its exact origin is unclear, it likely emerged in the late 20th century as a contemporary interpretation of the Martini, incorporating the bright flavors of kiwi.","The vibrant yellow cocktail is served in a coupe glass adorned with a fresh slice of kiwi, offering a visually striking presentation."
214,kiss me quick,Alcoholic,ordinary drink,highball glass,mix in the glass,https://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,"['cranberry vodka','apfelkorn','schweppes russchian','apple juice','ice']","['4 cl','2 cl','7 cl','8 cl','cubes']","Kiss Me Quick belongs to the?highball family, a refreshing and easy-to-drink category typically featuring spirits, mixers, and ice. While its origins are unknown, the combination of vodka, apple flavors, and a fizzy element suggests a playful, contemporary creation likely inspired by modern interpretations of classic cocktails.","The golden-hued cocktail is served in a tall highball glass with a large ice cube garnishing the top, giving it a refreshing and elegant look. The drink appears to have a smooth surface with bubbles indicating a light carbonation or effervescent quality."
215,kool-aid shot,Alcoholic,shot,old-fashioned glass,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,https://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,"['vodka','amaretto','sloe gin','triple sec','cranberry juice']","['1 shot','1 shot','1 shot','1 shot', none]","Shake up this super awesome Kool-Aid shot if you��re looking for a sweet and fun drink to serve. This shot is reminiscent both in taste, smell and color to the super sweet Kool-Aid drink you might remember as a kid.","The cocktail is served in a short, rounded glass with a rich red hue and cubed ice cubes, suggesting a classic yet sophisticated mixology choice."
216,kool first aid,Alcoholic,shot,shot glass,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",https://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,"['151 proof rum','kool-aid']","['2 oz light','1/2 tsp tropical']","The ""Kool First Aid"" is a cocktail, specifically a shot, made by layering an alcoholic spirit with Kool-Aid in a double shot glass, then drinking it in one go. While there isn't one definitive recipe, the most prominent version, documented by NJoy Spirits, uses Mermaid Rum and Tropical Kool-Aid. The key is the layering technique, where the Kool-Aid is at the bottom of the glass and the rum is carefully poured on top, followed by ""slamming and shooting"" the drink.","The cocktail features a vibrant red layer at the bottom, transitioning into yellow, creating a striking two-toned appearance in a clear shot glass. Garnished with a fresh lime slice, it adds a touch of acidity and color contrast to the drink."
217,kentucky b and b,Alcoholic,ordinary drink,brandy snifter,Pour the bourbon and Benedictine into a brandy snifter.,https://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,"['bourbon','benedictine']","['2 oz','1/2 oz']","The Kentucky B&B, a simple yet elegant mix of bourbon and Benedictine, belongs to the After Dinner cocktail family. This cocktail is a classic Southern American creation, popularized in the mid-20th century by the legendary bartender, The Jim Meehan of the New York City bar, PDT.","The cocktail is served in a snifter glass, showcasing a rich amber hue with a smooth, syrupy texture on the rim. The beverage's deep color suggests it may be a high-quality brandy or whiskey, likely garnished simply with ice for clarity and ease of enjoyment."
218,kentucky colonel,Alcoholic,ordinary drink,cocktail glass,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,"['bourbon','benedictine','lemon peel']","['3 oz','1/2 oz','1 twist of']","The Kentucky Colonel is a classic Whiskey Sour variation, a family known for their tart and refreshing nature. This cocktail��s origins are shrouded in mystery, likely emerging from the vibrant bar scene of the early 20th century, with its combination of bourbon, herbal Benedictine, and a citrus twist epitomizing the era��s sophisticated drinking culture.","The cocktail is presented in a classic martini glass, showcasing a rich amber hue, indicating a blend of spirits with potential hints of sweetness and complexity. The liquid sits elegantly without any visible garnish or foam on top, suggesting it's been carefully mixed to maintain a simple and sophisticated appearance."
219,kool-aid slammer,Alcoholic,shot,shot glass,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",https://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,"['kool-aid','vodka']","['1/2 oz grape','1/2 oz']","The Kool-Aid Slammer is a simple yet fun cocktail or shot made by mixing vodka and Kool-Aid powder. The sweet, fruity flavor of Kool-Aid masks the alcoholic aroma of the vodka, making it a great way to liven up parties.","The cocktail features a vibrant ruby red color and is garnished with a twist of lime, offering a fresh contrast to the deep hue. It's served in a short glass with a wide rim, which perfectly showcases its glossy and colorful contents."
220,kiwi papaya smoothie,Non alcoholic,other / unknown,highball glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,"['kiwi','papaya']","['3','1/2']","The Kiwi Papaya Smoothie isn��t technically a cocktail, but rather a contemporary fruit smoothie, a modern beverage category popularized in the late 20th century. It draws inspiration from the long tradition of blended fruit drinks, but emphasizes a fresh, healthy approach.","The vibrant green smoothie is served in a classic glass jar, featuring bright orange straws for a pop of color. The rich texture is dotted with dark seeds, hinting at a kiwi base mixed with possibly coconut milk to achieve its creamy appearance."
221,kill the cold smoothie,Non alcoholic,other / unknown,highball glass,Juice ginger and lemon and add it to hot water. You may add cardomom.,https://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,"['ginger','lemon','water']","['1 inch','1/4','1 cup hot']",Kill the Cold Smoothie' is a healthy smoothie focused on preventing colds and boosting immunity. It's a classic recipe that doesn't contain alcohol.,"The vibrant orange cocktail in a mason jar is garnished with polka-dotted straws and surrounded by slices of ripe banana, offering a delightful contrast against the neutral-toned surface."
222,limeade,Non alcoholic,other / unknown,highball glass,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",https://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,"['lime','sugar','soda water','lime peel']","['juice of 1','1 tblsp','(seltzer water)', none]","Limeade, a refreshing summer staple, belongs to the?Fruity Fizz?cocktail family. Its origins are debated, likely originating in the Caribbean or Southeast Asia, where limes are abundant. It��s a simple yet timeless combination of lime juice, sugar, soda water, and a touch of lime peel for aroma.","The vibrant green cocktail is served in a classic lowball glass, adorned with a sprig of fresh mint and a slice of lime, creating a refreshing visual contrast."
223,lunch box,Alcoholic,beer,pint glass,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,https://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,"['beer','amaretto','orange juice']","['3/4 bottle','1 shot','1 oz']","The Lunch Box is a unique blend from the?Highball?family, a group of cocktails typically served tall with ice. Its origin remains obscure, likely a modern invention combining the sweet, nutty notes of Amaretto with the refreshing tang of orange juice and a crisp beer base.","The cocktail appears to have a golden-hued liquid, suggesting a well-mixed drink with a rich, amber color. The beverage is served in a Collins glass, which complements the frothy head of foam on top, indicating it might be a smooth and refreshing selection."
224,lemon drop,Alcoholic,cocktail,cocktail glass,Shake and strain into a chilled cocktail glass rimmed with sugar.,https://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,"['vodka','cointreau','lemon']","['1 1/2 shot','1 1/2 shot','juice of 1 wedge']","The Lemon Drop, a classic sour cocktail, belongs to the Sour family. Its origin is debated, but likely emerged in the 1970s, combining the sharp citrus of a lemon sour with the sweetness of Cointreau.","The vibrant golden-yellow cocktail in a classic martini glass is topped with a frothy foam that sits gently atop the liquid. A small twist of lime rests subtly on the rim of the glass, adding a fresh accent to the drink's presentation."
225,lemon shot,Alcoholic,shot,shot glass,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",https://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,"['galliano','absolut citron','lemon','sugar','151 proof rum']","['1/2 oz','1/2 oz','wedge','bacardi', none]","'Lemon Shot' is usually short for **Lemon Drop Shot**, a sweet and sour shot cocktail made with vodka, lemon juice, and sugar. Its signature feature is the enjoyment of the original cocktail flavor alongside candied lemon wedges.","The cocktails are light yellow-green with lemon wedges, displayed in small glasses with a sugar rim around the top for added texture and flavor contrast."
226,long vodka,Alcoholic,ordinary drink,highball glass,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,"['vodka','lime','angostura bitters','tonic water','ice']","['5 cl','1/2','4 dashes','1 dl schweppes','4']","Long Vodka is a refreshing highball, a cocktail family known for their tall, mixed-drink format. Its origins are likely modern, a twist on the classic Gin and Tonic, using vodka��s clean taste and the citrusy bite of lime.","The cocktail features a golden amber hue and is served with a large ice cube, highlighting its cold and refreshing nature. The drink is presented in a tall glass, emphasizing its crispness and making it visually appealing against a dark backdrop."
227,lassi khara,Non alcoholic,other / unknown,highball glass,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,https://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,"['yoghurt','water','salt','asafoetida']","['1 cup','2 cups cold','1 tsp','1 pinch']","Lassi Khara, a savory yogurt drink, hails from India and falls under the lassi family, a traditional South Asian beverage. While not a cocktail in the traditional sense, it shares the quenching refreshment quality of a summer cooler, often served with a savory kick.","The frothy white cocktail in a tall glass is elegantly topped with two fresh mint leaves, adding a vibrant touch of green against the creamy drink. A sleek black and white striped straw hints at its sophisticated flavor profile."
228,lassi raita,Non alcoholic,other / unknown,highball glass,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",https://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,"['yoghurt','ice','sugar','lime','salt']","['2 cups','4-6', none, none, none]","Lassi Raita isn��t a cocktail, but a refreshing Indian beverage! It hails from the South Asian subcontinent, belonging to the family of yogurt-based drinks like lassi and buttermilk. Think of it as a creamy, spiced, and chilled beverage perfect for any occasion.","The cocktail features a creamy white hue, accented with a sprinkling of green pistachio pieces for a festive touch. It's served in short, clear glasses, allowing the color to pop and the texture to be appreciated from all angles."
229,lemouroudji,Non alcoholic,other / unknown,highball glass,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.",https://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,"['ginger','water','lemon','sugar','cayenne pepper']","['2 pieces','1 gal','1 lb','1 cup','ground']","The Lemouroudji, with its ginger, lemon, and cayenne pepper, belongs to the?Ginger family?of cocktails. This refreshing, spicy concoction likely originated in the Caribbean, where ginger and cayenne pepper are common ingredients in traditional drinks.","The drink is a refreshing yellow lemonade, garnished with a sprig of mint in a classic highball glass. It's served alongside fresh lemons with green stems, adding to the bright, citrusy aesthetic of the scene."
230,loch lomond,Alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,"['scotch','drambuie','dry vermouth','lemon peel']","['2 oz','1/2 oz','1/2 oz','1 twist of']","The Loch Lomond is a sophisticated variation on the classic?Whiskey Sour?family. Its origins are unclear, but the blend of Scotch, sweet Drambuie, and dry Vermouth likely emerged in the late 19th or early 20th century, reflecting the growing popularity of Scotch whisky cocktails.","The cocktail in a classic martini glass appears a rich amber hue, enhanced by a elegant orange peel twist garnish for a touch of sophistication."
231,london town,Alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,"['gin','maraschino liqueur','orange bitters']","['1 1/2 oz','1/2 oz','2 dashes']","The London Town, a delightful blend of gin, maraschino liqueur, and orange bitters, is a classic member of the Martini family. Though its exact origins are shrouded in mystery, its profile suggests a nod to the rich history of gin cocktails in London, where the spirit itself was born.","The drink appears to be a golden-hued cocktail served in a coupe glass, garnished with a dried cherry and an olive skewered on a toothpick for added elegance."
232,lassi - mango,Non alcoholic,other / unknown,highball glass,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,https://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,"['mango','yoghurt','sugar','water']","['2','2 cups','1/2 cup','1 cup iced']","Mango Lassi is a type of lassi, a traditional Indian drink. Made with fresh, ripe mangoes, it adds a sweet flavor and smooth texture. It's a non-alcoholic beverage, not a cocktail, and is often enjoyed with curries and spicy dishes at Indian restaurants.","The vibrant yellow mango smoothie in a tall, slender glass is topped with a slice of fresh mango, giving it a tropical and refreshing look. The drink's smooth texture and bright color are further accentuated by the simple pink-and-white striped cloth beneath the glass."
233,lassi - sweet,Non alcoholic,other / unknown,highball glass,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,https://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,"['yoghurt','water','sugar','salt','lemon juice']","['1 cup','2 cups cold','4 tblsp','pinch','2 tblsp']","Sweet Lassi is a type of lassi, a traditional Indian yogurt drink. As its name suggests, it's sweetened with sugar or honey. Unlike the salty ""Kara Lassi,"" it has a mild sweetness and refreshing yogurt flavor. It's often enjoyed as an after-meal dessert or to quench your thirst on a hot day.","The cocktail appears to be a creamy white beverage served in clear glasses with octagonal tops, garnished with finely chopped green herbs and a sprinkling of spices for added texture and visual appeal."
234,limona corona,Alcoholic,beer,beer glass,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",https://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,"['corona','bacardi limon']","['1 bottle','1 oz']","The Limona Corona is a straightforward highball, a category popularized in the late 19th century. This simple combination of beer and flavored liqueur, likely originated in a casual setting, highlighting the refreshing and vibrant flavors of both ingredients.","The cocktail inside the clear glass is a golden-yellow color, with a lime wedge garnish, indicating it could be a Tequila Margarita. The glass appears to be a short, thick highball glass ideal for serving frozen or shaken cocktails."
235,lord and lady,Alcoholic,ordinary drink,old-fashioned glass,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,"['dark rum','tia maria']","['1 1/2 oz','1/2 oz']","The Lord and Lady is a classic?coffee cocktail, likely originating in the Caribbean where dark rum and Tia Maria, a coffee liqueur, are readily available. This simple combination delivers a rich, complex flavor profile that��s both sweet and boozy.","The iced coffee is served in a clear glass filled with large ice cubes, garnished with a sprig of mint for freshness. The golden hue of the liquid contrasts beautifully with the clear ice and the green of the mint."
236,lady love fizz,Alcoholic,ordinary drink,cocktail glass,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,"['gin','light cream','powdered sugar','lemon','egg white','carbonated water']","['2 oz','2 tsp','1 tsp','juice of 1/2','1', none]","The Lady Love Fizz is a delightful member of the Fizz family, a classic cocktail style originating in the late 19th century. Its combination of gin, cream, and egg white creates a creamy, frothy delight, while the lemon and carbonated water provide a refreshing and bubbly finish.","The cocktail is served in a martini glass with a creamy white appearance, garnished with a slice of lemon, creating a striking presentation against the clear glass."
237,long island tea,Alcoholic,ordinary drink,highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg,"['vodka','light rum','gin','tequila','lemon','coca-cola']","['1/2 oz','1/2 oz','1/2 oz','1/2 oz','juice of 1/2','1 splash']","The Long Island Iced Tea is a potent highball cocktail, born in the 1970s on Long Island, New York. This strong, multi-spirit drink, often mistaken for tea due to its dark color, is classified as a highball due to its base of cola and spirit ratios.","The dark red beverage in two tall, highball glasses features ice cubes and a lemon slice garnish for a refreshing presentation. The vibrant color and the addition of straws suggest it's an iced tea or iced coffee."
238,lone tree cooler,Alcoholic,ordinary drink,collins glass,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",https://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,"['carbonated water','gin','dry vermouth','powdered sugar','orange spiral','lemon peel']","[none, none, none, none, none, none]","The Lone Tree Cooler is a refreshing twist on the classic Gin Fizz family. Its origins likely lie in the late 19th century, when carbonated water and powdered sugar were popular additions to gin-based cocktails. The citrus notes and garnish nod to the enduring popularity of citrus-forward drinks.","The cocktail is a vibrant orange beverage served in a tall glass, garnished with a fresh slice of orange, giving it a refreshing and lively presentation."
239,lone tree cocktail,Alcoholic,ordinary drink,cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,"['sweet vermouth','gin']","['3/4 oz','1 1/2 oz']","The Lone Tree Cocktail is a classic Martini variation, a member of the esteemed gin-based cocktail family. While its exact origin is shrouded in mystery, its simple elegance points to a likely birth in the late 19th or early 20th century, a time when gin cocktails were all the rage.","The martini features a simple yet elegant presentation with a pickled onion garnished on a toothpick. The classic Martini glass reflects a clear liquid, emphasizing its sophisticated look."
240,lazy coconut paloma,Alcoholic,cocktail,highball glass,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,https://www.thecocktaildb.com/images/media/drink/rytuex1598719770.jpg,"['coconut liqueur','grapefruit juice','soda water']","['30 ml','75 ml','top']","The Lazy Coconut Paloma is a playful twist on the classic Paloma, a tequila-based cocktail born in Mexico. This variation swaps tequila for coconut liqueur, lending a tropical twist to the grapefruit and soda water base.","The cocktail is a light pink color, garnished with a grapefruit slice and a small ice cube, served in a tall Collins glass. The drink sits on a marble coaster atop a white wooden surface."
241,long island iced tea,Alcoholic,ordinary drink,highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,"['vodka','tequila','light rum','gin','coca-cola','lemon peel']","['1/2 oz','1/2 oz','1/2 oz','1/2 oz','1 dash','twist of']","The Long Island Iced Tea is a potent highball cocktail, born in the 1970s on Long Island, New York. This strong, multi-spirit drink, often mistaken for tea due to its dark color, is classified as a highball due to its base of cola and spirit ratios.","The cocktail is served in a tall Collins glass, filled with a golden-brown liquid, and garnished with a wedge of lime and a lemon olive on a cocktail pick."
242,lemon elderflower spritzer,Alcoholic,cocktail,highball glass,"Pour all ingredients over ice, stir and enjoy!",https://www.thecocktaildb.com/images/media/drink/125w0o1630407389.jpg,"['elderflower cordial','vodka','soda water','fresh lemon juice']","['2 tsp','1 shot','1/3 cup','top']","The Lemon Elderflower Spritzer is a refreshing, modern twist on the classic Fizz family. Its origins are likely rooted in the popularity of elderflower cordial, a European staple, and the growing trend of light, sophisticated cocktails.","The cocktails are a bright yellow-orange hue, with ice cubes and a sprig of thyme as a garnish, served in clear stemless glasses."
243,lassi - a south indian drink,Non alcoholic,other / unknown,highball glass,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",https://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,"['yoghurt','water','cumin seed','salt','mint']","['1/2 cup plain','1 1/4 cup cold','1/2 tsp ground roasted','1/4 tsp','1/4 tsp dried']","The Lassi, a South Indian staple, isn��t a cocktail in the traditional sense but rather a refreshing beverage. It belongs to the family of yogurt-based drinks, similar to buttermilk or kefir. Its origins trace back to ancient India, where it was enjoyed for its cooling and digestive properties.","The beverage in the image features a creamy white base topped with a dusting of pistachios for a rustic garnish. Served in short, wide glasses, it presents a comforting, homemade aesthetic perfect for a cool treat."
244,melya,Non alcoholic,coffee / tea,coffee mug,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",https://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,"['espresso','honey','cocoa powder']","[none,'unsweetened', none]","The Melya, a harmonious blend of espresso, honey, and cocoa powder, is a member of the Coffee Cocktail family. This sophisticated drink likely originated in Italy, where espresso is king and sweetening with honey is a traditional practice.","The beverage is a frothy white concoction, likely a latte or cappuccino, served in a small, sturdy white ceramic cup with blue trim. The top is thick and creamy with a golden rim, suggesting a perfectly steamed milk topping."
245,mojito,Alcoholic,cocktail,highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,"['light rum','lime','sugar','mint','soda water']","['2-3 oz','juice of 1','2 tsp','2-4', none]","The Mojito belongs to the Highball family, characterized by its tall, chilled presentation and combination of spirits, mixers, and ice. Originating in Cuba, the Mojito��s origins can be traced back to a 16th-century drink called Draque made with sugarcane juice, lime, and mint.","The mojito in the highball glass is vibrant with the green of freshly squeezed limes and a sprig of mint for garnish. The glass brims with ice, showcasing the drink's refreshing and invigorating nature."
246,mimosa,Alcoholic,ordinary drink,champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,"['champagne','orange juice']","['chilled','2 oz']","The Mimosa, a quintessential brunch staple, belongs to the?Fizz family, characterized by the combination of sparkling wine and a citrus juice. Its origins trace back to the late 19th century, likely originating in France, where it was initially called Buck��s Fizz.","The cocktail is served in champagne flutes, garnished with a slice of lime and displays a bright orange hue. The glassware showcases the classic elegant style suitable for a mimosa-inspired drink."
247,mai tai,Alcoholic,ordinary drink,collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,"['light rum','orgeat syrup','triple sec','sweet and sour','cherry']","['1 oz','1/2 oz','1/2 oz','1 1/2 oz','1']","The Mai Tai, a tropical delight, belongs to the Tiki cocktail family, born in 1944 at Trader Vic��s in Oakland, California. This iconic rum-based cocktail is a vibrant blend of sweet and sour flavors, showcasing the Polynesian influence that swept the cocktail scene in the mid-20th century.","The cocktail has a vibrant pink hue and is garnished with fresh mint leaves and a wooden skewer. It's served in a highball glass, perfect for a light and refreshing drink."
248,martini,Alcoholic,cocktail,cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,"['gin','dry vermouth','olive']","['1 2/3 oz','1/3 oz','1']","The Martini, a quintessential cocktail, belongs to the Martini family, characterized by its gin or vodka base and dry vermouth. Its origin is debated, but likely emerged in the late 19th century in New York or San Francisco, gaining popularity in the early 20th century.","The cocktail in a classic martini glass features a clear, light-colored liquid, with a single olive as the garnish, adding a touch of color against the pale backdrop of the drink."
